原审计ID,名称,目标功能,所属规则章节,关联GP_RP参数,声称的实现文件,实际找到的实现符号,调用方,测试文件,测试用例,运行证据,当前状态,历史证据等级（legacy EV）,缺失内容,阻塞依赖,建议优先级,原审计状态,原审计声明,原审计边界
AU-045,GP 注册,GP-001～027 完整、唯一、可验证、可追踪,人类化决策规则：第 15—18 章与参数 / 17. GP 注册,GP-001～GP-027,players/humanlike/config.py; players/humanlike/traceability.py; configs/humanlike_v2/default.json,players/humanlike/config.py:301::load_config; players/humanlike/config.py:156::HumanlikeConfig; players/humanlike/config.py:192::_validate_global_parameters; players/humanlike/traceability.py:12::ParameterTrace; players/humanlike/traceability.py:19::_gp_consumer; players/humanlike/traceability.py:31::_rp_consumer,players/humanlike/player.py:46::load_config; players/humanlike/settings_service.py:38::load_config; players/humanlike/config.py:333::HumanlikeConfig; players/humanlike/config.py:151::_validate_global_parameters; players/humanlike/traceability.py:46::ParameterTrace; players/humanlike/traceability.py:46::_gp_consumer,tests/humanlike_v2/test_config.py,tests/humanlike_v2/test_config.py::test_default_has_all_gp_profiles_and_stable_hash; tests/humanlike_v2/test_config.py::test_hash_ignores_json_format_and_key_order; tests/humanlike_v2/test_config.py::test_missing_gp_fails; tests/humanlike_v2/test_config.py::test_unknown_version_fails; tests/humanlike_v2/test_config.py::test_invalid_range_fails; tests/humanlike_v2/test_config.py::test_non_normalized_weights_fail; tests/humanlike_v2/test_config.py::test_missing_player_cognitive_gp_fails; tests/humanlike_v2/test_config.py::test_player_cognitive_parameters_are_independent,docs/status/F0030_ACCEPTANCE_2026-07-29.md::自动验收/逐座批跑（report-only）,INTEGRATED,EV4,原审计边界说明（未找到明确缺口）：F0030 后 GP-024～027 迁到逐玩家，权威版本升级 PARAMS 1.1,无已识别硬阻塞,P0,完成,config validator、default/compatibility、traceability,F0030 后 GP-024～027 迁到逐玩家，权威版本升级 PARAMS 1.1
AU-046,RP 注册,RP-001～033 的生命周期、更新与归档,人类化决策规则：第 15—18 章与参数 / 17. RP 注册,RP-001～RP-033,players/humanlike/runtime.py,players/humanlike/runtime.py:34::RoundRuntime; players/humanlike/runtime.py:46::create_round; players/humanlike/runtime.py:80::apply_event,未找到,tests/humanlike_v2/test_runtime.py,tests/humanlike_v2/test_runtime.py::test_event_decision_and_finalize_lifecycle; tests/humanlike_v2/test_runtime.py::test_unknown_rp_and_invalid_transition_fail,docs/status/SPEC_IMPLEMENTATION_AUDIT_2026-07-29.md::测试与运行效果证据（report-only；未找到原始产物）,PARTIAL,EV3,未找到生产调用方；33 个槽位齐全；部分 RP 是摘要或占位，未逐项实现源公式的全部动态语义,无已识别硬阻塞,P3,部分完成,`runtime.py`；exactly-33/lifecycle 测试,33 个槽位齐全；部分 RP 是摘要或占位，未逐项实现源公式的全部动态语义
AU-047,RP-033 学习输出,仅用公开信息更新下一局画像并受历史长度限制,人类化决策规则：第 15—18 章与参数 / 17. RP-033 学习输出,RP-033,engine/audit.py; players/humanlike/player.py,engine/audit.py:77::DecisionAuditWriter; engine/audit.py:115::record_decision; engine/audit.py:240::verify_audit; players/humanlike/player.py:29::HumanlikeV2Player; players/humanlike/player.py:56::observe; players/humanlike/player.py:88::decide,engine/orchestrator.py:140::DecisionAuditWriter; players/humanlike/audit_replay.py:32::verify_audit; players/humanlike/audit_replay.py:60::HumanlikeV2Player,tests/humanlike_v2/test_audit_replay.py; tests/humanlike_v2/test_cognition.py; tests/humanlike_v2/test_deterministic_policy.py; tests/humanlike_v2/test_humanlike_player_integration.py,tests/humanlike_v2/test_audit_replay.py::test_writer_verifier_and_footer_contract; tests/humanlike_v2/test_audit_replay.py::test_tampering_and_truncation_are_detected; tests/humanlike_v2/test_audit_replay.py::test_writer_rejects_opponent_hand_leak_and_illegal_action; tests/humanlike_v2/test_audit_replay.py::test_runner_audit_verifies_and_policy_replays; tests/humanlike_v2/test_cognition.py::test_player_emits_trace_v2_and_cognitive_rp_slots; tests/humanlike_v2/test_deterministic_policy.py::test_player_dingque_and_trace_are_deterministic; tests/humanlike_v2/test_deterministic_policy.py::test_hidden_opponent_hands_cannot_change_decision; tests/humanlike_v2/test_humanlike_player_integration.py::test_registry_exposes_humanlike_without_changing_old_defaults,docs/status/F0028_3_ACCEPTANCE_2026-07-29.md::自动验收/批跑（report-only）; docs/status/F0028_5_ACCEPTANCE_2026-07-29.md::自动验收/9294决策复演（report-only）,SCAFFOLDED,EV1,没有完整 `Profile_next` 学习率更新和持久化画像；当前主要是策略实例内的有界公开印象,无已识别硬阻塞,P0,未实现,runtime 注册、round reset 保留印象,没有完整 `Profile_next` 学习率更新和持久化画像；当前主要是策略实例内的有界公开印象
AU-048,数值校验,类型、枚举、范围、权重、版本、冲突显式失败,人类化决策规则：第 15—18 章与参数 / 18. 数值校验,GP-001～GP-027,players/humanlike/config.py; players/humanlike/traceability.py; configs/humanlike_v2/default.json,players/humanlike/config.py:301::load_config; players/humanlike/config.py:156::HumanlikeConfig; players/humanlike/config.py:192::_validate_global_parameters; players/humanlike/traceability.py:12::ParameterTrace; players/humanlike/traceability.py:19::_gp_consumer; players/humanlike/traceability.py:31::_rp_consumer,players/humanlike/player.py:46::load_config; players/humanlike/settings_service.py:38::load_config; players/humanlike/config.py:333::HumanlikeConfig; players/humanlike/config.py:151::_validate_global_parameters; players/humanlike/traceability.py:46::ParameterTrace; players/humanlike/traceability.py:46::_gp_consumer,tests/humanlike_v2/test_config.py,tests/humanlike_v2/test_config.py::test_default_has_all_gp_profiles_and_stable_hash; tests/humanlike_v2/test_config.py::test_hash_ignores_json_format_and_key_order; tests/humanlike_v2/test_config.py::test_missing_gp_fails; tests/humanlike_v2/test_config.py::test_unknown_version_fails; tests/humanlike_v2/test_config.py::test_invalid_range_fails; tests/humanlike_v2/test_config.py::test_non_normalized_weights_fail; tests/humanlike_v2/test_config.py::test_missing_player_cognitive_gp_fails; tests/humanlike_v2/test_config.py::test_player_cognitive_parameters_are_independent,docs/status/F0030_ACCEPTANCE_2026-07-29.md::自动验收/逐座批跑（report-only）,INTEGRATED,EV4,原审计边界说明（未找到明确缺口）：启动/保存校验强；运行期所有派生概率并非统一通过一个数值校验器,无已识别硬阻塞,P0,完成,strict config、settings service、engine adapter；非法配置测试,启动/保存校验强；运行期所有派生概率并非统一通过一个数值校验器
AU-049,六项 Q 评价,speed/live/fan/risk/plan/match 六项归一化加权和有界噪声,人类化决策规则：第 15—18 章与参数 / 18. Q 评价,"GP-025, RP-019～RP-029",players/humanlike/runtime.py,players/humanlike/runtime.py:34::RoundRuntime; players/humanlike/runtime.py:46::create_round; players/humanlike/runtime.py:80::apply_event,未找到,tests/humanlike_v2/test_runtime.py,tests/humanlike_v2/test_runtime.py::test_event_decision_and_finalize_lifecycle; tests/humanlike_v2/test_runtime.py::test_unknown_rp_and_invalid_transition_fail,docs/status/SPEC_IMPLEMENTATION_AUDIT_2026-07-29.md::测试与运行效果证据（report-only；未找到原始产物）,PARTIAL,EV3,未找到生产调用方；当前确定性 evaluator 实际主要用 speed/hand_value/defense/flexibility；认知层补计划/噪声，但与源公式并非一一同构,无已识别硬阻塞,P2,部分完成,evaluator/cognition/policy、trace,当前确定性 evaluator 实际主要用 speed/hand_value/defense/flexibility；认知层补计划/噪声，但与源公式并非一一同构
AU-050,概率约束,对手假设归一、保留不确定性、死叫严格、未见不等于墙内,人类化决策规则：第 15—18 章与参数 / 18. 概率约束,RP-006～RP-018,protocols/player_view_builder.py; protocols/player_view_v2.py; players/humanlike/view.py; training/oracle.py; players/humanlike/belief.py; players/analysis/opponent_model.py; players/analysis/danger.py,protocols/player_view_builder.py:72::PlayerViewBuilder; protocols/player_view_builder.py:76::build; protocols/player_view_builder.py:143::build_legacy_dict; protocols/player_view_v2.py:34::PlayerViewV2; protocols/player_view_v2.py:12::freeze_mapping; protocols/player_view_v2.py:25::thaw; players/humanlike/view.py:66::build_decision_context; players/humanlike/view.py:19::DecisionContext,protocols/view_filter.py:13::PlayerViewBuilder; protocols/view_filter.py:13::build_legacy_dict; players/humanlike/view.py:57::PlayerViewV2; protocols/player_view_builder.py:135::PlayerViewV2; protocols/player_view_v2.py:43::freeze_mapping; players/humanlike/player.py:93::build_decision_context,tests/humanlike_v2/test_deterministic_policy.py; tests/humanlike_v2/test_player_view_v2.py,tests/humanlike_v2/test_deterministic_policy.py::test_context_rejects_wrong_view_version_and_seat; tests/humanlike_v2/test_player_view_v2.py::test_v2_whitelist_hides_opponents_wall_and_sentinel; tests/humanlike_v2/test_player_view_v2.py::test_gp021_wall_and_concealed_gang_visibility_modes; tests/humanlike_v2/test_player_view_v2.py::test_gp021_all_visibility_fields_have_hidden_partial_exact_contracts,docs/status/F0028_2_ACCEPTANCE_2026-07-28.md::自动验收（report-only）; docs/status/F0028_3_ACCEPTANCE_2026-07-29.md::自动验收/批跑（report-only）; docs/status/F0028_6_ACCEPTANCE_2026-07-29.md::自动验收/10950观测（report-only）,PARTIAL,EV3,核心信息边界正确；未形成完整归一化假设分布、墙内活牌概率与死叫判定链,无已识别硬阻塞,P3,部分完成,visible/unseen、belief、view audit,核心信息边界正确；未形成完整归一化假设分布、墙内活牌概率与死叫判定链
AU-051,版本与源绑定,保存 RULES/PARAMS/IMPL 版本和源 SHA-256，未知组合拒绝,程序实现规范：第 0—10 章 / 0–1. 版本与源绑定,GP-001,players/humanlike/config.py,players/humanlike/config.py:301::load_config; players/humanlike/config.py:156::HumanlikeConfig; players/humanlike/config.py:192::_validate_global_parameters,players/humanlike/player.py:46::load_config; players/humanlike/settings_service.py:38::load_config; players/humanlike/config.py:333::HumanlikeConfig; players/humanlike/config.py:151::_validate_global_parameters,tests/humanlike_v2/test_config.py,tests/humanlike_v2/test_config.py::test_default_has_all_gp_profiles_and_stable_hash; tests/humanlike_v2/test_config.py::test_hash_ignores_json_format_and_key_order; tests/humanlike_v2/test_config.py::test_missing_gp_fails; tests/humanlike_v2/test_config.py::test_unknown_version_fails; tests/humanlike_v2/test_config.py::test_invalid_range_fails; tests/humanlike_v2/test_config.py::test_non_normalized_weights_fail; tests/humanlike_v2/test_config.py::test_missing_player_cognitive_gp_fails; tests/humanlike_v2/test_config.py::test_player_cognitive_parameters_are_independent,docs/status/F0030_ACCEPTANCE_2026-07-29.md::自动验收/逐座批跑（report-only）,INTEGRATED,EV4,原审计边界说明（未找到明确缺口）：当前权威已演进到 PARAMS 1.1 / IMPL 2.1，loader 兼容 1.0/2.0,无已识别硬阻塞,P0,完成,config constants/compatibility；源 hash 实测匹配,当前权威已演进到 PARAMS 1.1 / IMPL 2.1，loader 兼容 1.0/2.0
AU-052,冲突裁决,规则、参数、不变量、实现顺序明确；冲突不静默默认,程序实现规范：第 0—10 章 / 1.3 冲突裁决,GP-001～GP-027,players/humanlike/config.py; players/humanlike/traceability.py; configs/humanlike_v2/default.json,players/humanlike/config.py:301::load_config; players/humanlike/config.py:156::HumanlikeConfig; players/humanlike/config.py:192::_validate_global_parameters; players/humanlike/traceability.py:12::ParameterTrace; players/humanlike/traceability.py:19::_gp_consumer; players/humanlike/traceability.py:31::_rp_consumer,players/humanlike/player.py:46::load_config; players/humanlike/settings_service.py:38::load_config; players/humanlike/config.py:333::HumanlikeConfig; players/humanlike/config.py:151::_validate_global_parameters; players/humanlike/traceability.py:46::ParameterTrace; players/humanlike/traceability.py:46::_gp_consumer,tests/humanlike_v2/test_config.py,tests/humanlike_v2/test_config.py::test_default_has_all_gp_profiles_and_stable_hash; tests/humanlike_v2/test_config.py::test_hash_ignores_json_format_and_key_order; tests/humanlike_v2/test_config.py::test_missing_gp_fails; tests/humanlike_v2/test_config.py::test_unknown_version_fails; tests/humanlike_v2/test_config.py::test_invalid_range_fails; tests/humanlike_v2/test_config.py::test_non_normalized_weights_fail; tests/humanlike_v2/test_config.py::test_missing_player_cognitive_gp_fails; tests/humanlike_v2/test_config.py::test_player_cognitive_parameters_are_independent,docs/status/F0030_ACCEPTANCE_2026-07-29.md::自动验收/逐座批跑（report-only）,PARTIAL,EV3,配置冲突可拒绝；部分平台规则仍由现有 EngineConfig 默认值承载，未全部做到单一 GP 权威,无已识别硬阻塞,P1,部分完成,config/engine adapter 明确失败,配置冲突可拒绝；部分平台规则仍由现有 EngineConfig 默认值承载，未全部做到单一 GP 权威
AU-053,IR-001～018,实体去重、活牌分层、账本分层、强制候选、Top-K、可见性、不可变历史等,程序实现规范：第 0—10 章 / 2. IR-001～018,"GP-001～GP-027, RP-001～RP-033",protocols/player_view_builder.py; protocols/player_view_v2.py; players/humanlike/view.py; training/oracle.py; players/humanlike/attention.py; players/humanlike/candidates.py; players/humanlike/belief.py,protocols/player_view_builder.py:72::PlayerViewBuilder; protocols/player_view_builder.py:76::build; protocols/player_view_builder.py:143::build_legacy_dict; protocols/player_view_v2.py:34::PlayerViewV2; protocols/player_view_v2.py:12::freeze_mapping; protocols/player_view_v2.py:25::thaw; players/humanlike/view.py:66::build_decision_context; players/humanlike/view.py:19::DecisionContext,protocols/view_filter.py:13::PlayerViewBuilder; protocols/view_filter.py:13::build_legacy_dict; players/humanlike/view.py:57::PlayerViewV2; protocols/player_view_builder.py:135::PlayerViewV2; protocols/player_view_v2.py:43::freeze_mapping; players/humanlike/player.py:93::build_decision_context,tests/humanlike_v2/test_deterministic_policy.py; tests/humanlike_v2/test_player_view_v2.py,tests/humanlike_v2/test_deterministic_policy.py::test_context_rejects_wrong_view_version_and_seat; tests/humanlike_v2/test_player_view_v2.py::test_v2_whitelist_hides_opponents_wall_and_sentinel; tests/humanlike_v2/test_player_view_v2.py::test_gp021_wall_and_concealed_gang_visibility_modes; tests/humanlike_v2/test_player_view_v2.py::test_gp021_all_visibility_fields_have_hidden_partial_exact_contracts,docs/status/F0028_2_ACCEPTANCE_2026-07-28.md::自动验收（report-only）; docs/status/F0028_3_ACCEPTANCE_2026-07-29.md::自动验收/批跑（report-only）; docs/status/F0028_4_ACCEPTANCE_2026-07-29.md::自动验收/性能（report-only）,PARTIAL,EV3,关键不变量落地；估计活牌、剩余摸牌区间、完整账本层级和贝叶斯解释仍有简化,无已识别硬阻塞,P3,部分完成,physical tile/view/runtime/audit/cognition,关键不变量落地；估计活牌、剩余摸牌区间、完整账本层级和贝叶斯解释仍有简化
AU-054,九模块架构,controller/engine/state/view/policy/resolver/scoring/audit/training 分离,程序实现规范：第 0—10 章 / 3. 九模块架构,"GP-001～GP-027, RP-001～RP-033",engine/orchestrator.py; engine/state.py,engine/orchestrator.py:57::PlayerGameRunner; engine/orchestrator.py:123::run; engine/orchestrator.py:342::_play_seat_action; engine/state.py:195::GameState; engine/state.py:89::PlayerState; engine/state.py:51::from_dict,main.py:128::PlayerGameRunner; engine/orchestrator.py:575::PlayerGameRunner; display/app.py:766::PlayerGameRunner; main.py:163::_play_seat_action; engine/orchestrator.py:244::_play_seat_action; engine/deal.py:61::GameState,tests/humanlike_v2/test_humanlike_player_integration.py; tests/humanlike_v2/test_state_v5_migration.py; tests/test_exchange_dingque.py; tests/test_reward.py; tests/test_session_scores.py,tests/humanlike_v2/test_humanlike_player_integration.py::test_humanlike_self_play_has_no_policy_crash_or_full_state_channel; tests/humanlike_v2/test_humanlike_player_integration.py::test_same_game_produces_same_decision_histories; tests/humanlike_v2/test_state_v5_migration.py::test_legacy_migration_is_deterministic_and_non_mutating; tests/humanlike_v2/test_state_v5_migration.py::test_bad_legacy_state_fails_instead_of_guessing; tests/test_exchange_dingque.py::test_t12_v1_dealt_readable; tests/test_reward.py::test_rw02_rank_bonus; tests/test_session_scores.py::test_starting_scores_applied_at_run_start; tests/test_session_scores.py::test_second_hand_starts_from_previous_totals,docs/status/F0028_2_ACCEPTANCE_2026-07-28.md::自动验收（report-only）,INTEGRATED,EV4,原审计边界说明（未找到明确缺口）：未照搬建议 `src/`，而是在既有仓库模块内实现；权威边界清楚,无已识别硬阻塞,P3,完成,对应 `engine/`、`protocols/`、`players/humanlike/`、`training/`,未照搬建议 `src/`，而是在既有仓库模块内实现；权威边界清楚
AU-055,Match Controller,锁 GP、四玩家、多局比分、终止、版本/seed,程序实现规范：第 0—10 章 / 3.1 Match Controller,GP-001～GP-027,engine/orchestrator.py; engine/session.py,engine/orchestrator.py:57::PlayerGameRunner; engine/orchestrator.py:123::run; engine/orchestrator.py:342::_play_seat_action; engine/session.py:33::GameSession; engine/session.py:68::apply; engine/session.py:161::play_random_game,main.py:128::PlayerGameRunner; engine/orchestrator.py:575::PlayerGameRunner; display/app.py:766::PlayerGameRunner; main.py:163::_play_seat_action; engine/orchestrator.py:244::_play_seat_action; main.py:144::GameSession,tests/humanlike_v2/test_humanlike_player_integration.py; tests/test_blood_battle.py; tests/test_session_scores.py,tests/humanlike_v2/test_humanlike_player_integration.py::test_humanlike_self_play_has_no_policy_crash_or_full_state_channel; tests/humanlike_v2/test_humanlike_player_integration.py::test_same_game_produces_same_decision_histories; tests/test_blood_battle.py::test_b10_random_games_terminate; tests/test_blood_battle.py::test_b11_more_random; tests/test_blood_battle.py::test_session_wrapper; tests/test_session_scores.py::test_starting_scores_applied_at_run_start; tests/test_session_scores.py::test_second_hand_starts_from_previous_totals,docs/status/SPEC_IMPLEMENTATION_AUDIT_2026-07-29.md::测试与运行效果证据（report-only；未找到原始产物）,PARTIAL,EV3,单局与连续比分可用；自定义整场排名、提前结束和完整 match object 能力有限,无已识别硬阻塞,P0,部分完成,orchestrator/runner/session/config/game_id,单局与连续比分可用；自定义整场排名、提前结束和完整 match object 能力有限
AU-056,Rule Engine,发换定、摸打碰杠胡、过胡、多响应、血战终止,程序实现规范：第 0—10 章 / 3.2 Rule Engine,GP-002～GP-020,engine/blood_battle.py; engine/legal.py,engine/blood_battle.py:62::active_seats; engine/blood_battle.py:66::next_active; engine/blood_battle.py:474::apply_action; engine/legal.py:57::legal_actions; engine/legal.py:31::legal_discards; engine/legal.py:127::action_in_legal,engine/blood_battle.py:146::active_seats; engine/blood_battle.py:162::next_active; engine/orchestrator.py:234::next_active; training/env.py:415::next_active; engine/session.py:77::apply_action; engine/legal.py:75::legal_discards,tests/test_analysis.py; tests/test_blood_battle.py; tests/test_legal_actions.py,tests/test_analysis.py::test_an03_strategy_best_min_shanten; tests/test_blood_battle.py::test_b02_discard_pass_cycle; tests/test_blood_battle.py::test_force_complete_response_unblocks; tests/test_blood_battle.py::test_blood_battle_continues_after_first_hu; tests/test_blood_battle.py::test_illegal_action; tests/test_legal_actions.py::test_response_has_pass,docs/status/SPEC_IMPLEMENTATION_AUDIT_2026-07-29.md::测试与运行效果证据（report-only；未找到原始产物）,TESTED,EV3,原审计边界说明（未找到明确缺口）：核心规则可运行；GP-008/009/010 所有平台变体未完整矩阵验证,无已识别硬阻塞,P0,完成,engine modules；规则测试和随机完整局,核心规则可运行；GP-008/009/010 所有平台变体未完整矩阵验证
AU-057,State Store,保存完整真实状态，仅授权模块读取,程序实现规范：第 0—10 章 / 3.3 State Store,RP-001～RP-023,engine/state.py; training/oracle.py,engine/state.py:195::GameState; engine/state.py:89::PlayerState; engine/state.py:51::from_dict; training/oracle.py:13::TrainingTruth; training/oracle.py:19::build_training_truth,engine/deal.py:61::GameState; engine/deal.py:52::PlayerState; training/oracle.py:20::TrainingTruth,tests/humanlike_v2/test_player_view_v2.py; tests/humanlike_v2/test_state_v5_migration.py; tests/test_exchange_dingque.py; tests/test_reward.py; tests/test_state_serde.py,tests/humanlike_v2/test_player_view_v2.py::test_oracle_is_separate_and_production_modules_do_not_import_it; tests/humanlike_v2/test_state_v5_migration.py::test_legacy_migration_is_deterministic_and_non_mutating; tests/humanlike_v2/test_state_v5_migration.py::test_bad_legacy_state_fails_instead_of_guessing; tests/test_exchange_dingque.py::test_t12_v1_dealt_readable; tests/test_reward.py::test_rw02_rank_bonus; tests/test_state_serde.py::test_t08_dict_roundtrip; tests/test_state_serde.py::test_strict_rejects_bad_hand_sizes; tests/test_state_serde.py::test_unsupported_schema_version,docs/status/F0028_2_ACCEPTANCE_2026-07-28.md::自动验收（report-only）; docs/status/F0028_6_ACCEPTANCE_2026-07-29.md::自动验收/10950观测（report-only）,TESTED,EV3,原审计边界说明（未找到明确缺口）：AI 私有认知不写入 GameState；这与规范 PlayerRoundState 示例不同但边界更安全,无已识别硬阻塞,P3,完成,`GameState` schema 5、oracle 分离,AI 私有认知不写入 GameState；这与规范 PlayerRoundState 示例不同但边界更安全
AU-058,Player View,独立白名单观测，隐藏字段不存在而非置空,程序实现规范：第 0—10 章 / 3.4 Player View,GP-021,protocols/player_view_builder.py; protocols/player_view_v2.py,protocols/player_view_builder.py:72::PlayerViewBuilder; protocols/player_view_builder.py:76::build; protocols/player_view_builder.py:143::build_legacy_dict; protocols/player_view_v2.py:34::PlayerViewV2; protocols/player_view_v2.py:12::freeze_mapping; protocols/player_view_v2.py:25::thaw,protocols/view_filter.py:13::PlayerViewBuilder; protocols/view_filter.py:13::build_legacy_dict; players/humanlike/view.py:57::PlayerViewV2; protocols/player_view_builder.py:135::PlayerViewV2; protocols/player_view_v2.py:43::freeze_mapping,tests/humanlike_v2/test_player_view_v2.py,tests/humanlike_v2/test_player_view_v2.py::test_v2_whitelist_hides_opponents_wall_and_sentinel; tests/humanlike_v2/test_player_view_v2.py::test_gp021_wall_and_concealed_gang_visibility_modes; tests/humanlike_v2/test_player_view_v2.py::test_gp021_all_visibility_fields_have_hidden_partial_exact_contracts,docs/status/F0028_2_ACCEPTANCE_2026-07-28.md::自动验收（report-only）,TESTED,EV3,原审计边界说明（未找到明确缺口）：PlayerView v2 强类型冻结；wire 仍保留 v1 legacy mapping,无已识别硬阻塞,P3,完成,builder/v2；GP-021、泄漏、隐藏哨兵测试,PlayerView v2 强类型冻结；wire 仍保留 v1 legacy mapping
AU-059,Humanlike Policy,记忆→注意→结构→信念→计划→候选→推演→停止→扰动→trace,程序实现规范：第 0—10 章 / 3.5 Human-like Policy,"GP-023～GP-027, RP-001～RP-033",players/humanlike/player.py; players/humanlike/policy.py,players/humanlike/player.py:29::HumanlikeV2Player; players/humanlike/player.py:56::observe; players/humanlike/player.py:88::decide; players/humanlike/policy.py:76::select_cognitively; players/humanlike/policy.py:23::CognitiveDecision,players/humanlike/audit_replay.py:60::HumanlikeV2Player; players/humanlike/player.py:135::select_cognitively; players/humanlike/policy.py:172::CognitiveDecision,tests/humanlike_v2/test_cognition.py; tests/humanlike_v2/test_deterministic_policy.py; tests/humanlike_v2/test_humanlike_player_integration.py,tests/humanlike_v2/test_cognition.py::test_mandatory_action_never_consumes_rng; tests/humanlike_v2/test_cognition.py::test_bounded_noise_is_reproducible_and_stays_in_near_pool; tests/humanlike_v2/test_cognition.py::test_clear_score_gap_disables_noise_and_think_time_is_bounded; tests/humanlike_v2/test_cognition.py::test_player_emits_trace_v2_and_cognitive_rp_slots; tests/humanlike_v2/test_deterministic_policy.py::test_player_dingque_and_trace_are_deterministic; tests/humanlike_v2/test_deterministic_policy.py::test_hidden_opponent_hands_cannot_change_decision; tests/humanlike_v2/test_humanlike_player_integration.py::test_registry_exposes_humanlike_without_changing_old_defaults,docs/status/F0028_3_ACCEPTANCE_2026-07-29.md::自动验收/批跑（report-only）; docs/status/F0028_4_ACCEPTANCE_2026-07-29.md::自动验收/性能（report-only）,PARTIAL,EV3,顺序和机制存在；信念、计划和推演比规范简化,无已识别硬阻塞,P2,部分完成,humanlike 模块链、trace v2,顺序和机制存在；信念、计划和推演比规范简化
AU-060,Action Resolver,按 GP-008 确定解析多人响应，顺序不受返回时序影响,程序实现规范：第 0—10 章 / 3.6 Action Resolver,RP-024～RP-032,engine/audit.py; engine/replay.py,engine/audit.py:77::DecisionAuditWriter; engine/audit.py:115::record_decision; engine/audit.py:240::verify_audit; engine/replay.py:13::ReplaySession; engine/replay.py:83::StepRecorder,engine/orchestrator.py:140::DecisionAuditWriter; players/humanlike/audit_replay.py:32::verify_audit; main.py:192::ReplaySession; engine/orchestrator.py:135::StepRecorder,tests/humanlike_v2/test_audit_replay.py; tests/test_persistence.py,tests/humanlike_v2/test_audit_replay.py::test_writer_verifier_and_footer_contract; tests/humanlike_v2/test_audit_replay.py::test_tampering_and_truncation_are_detected; tests/humanlike_v2/test_audit_replay.py::test_writer_rejects_opponent_hand_leak_and_illegal_action; tests/humanlike_v2/test_audit_replay.py::test_runner_audit_verifies_and_policy_replays; tests/test_persistence.py::test_s03_steps_replay,docs/status/F0028_5_ACCEPTANCE_2026-07-29.md::自动验收/9294决策复演（report-only）,PARTIAL,EV3,胡/碰/杠核心确定；全部可配置优先模式的直接测试不足,无已识别硬阻塞,P0,部分完成,session/blood_battle/legal,胡/碰/杠核心确定；全部可配置优先模式的直接测试不足
AU-061,Scoring,GP-011～020 驱动胡、杠、转移、终局调整,程序实现规范：第 0—10 章 / 3.7 Scoring,GP-001～GP-027,training/env.py,training/env.py:54::ChengduMahjongEnv; training/env.py:130::reset; training/env.py:200::step,training/env.py:752::ChengduMahjongEnv; training/spaces.py:1::ChengduMahjongEnv,tests/humanlike_v2/test_training_contract_v2.py; tests/test_env.py,tests/humanlike_v2/test_training_contract_v2.py::test_v2_observation_shapes_and_no_hidden_fields; tests/humanlike_v2/test_training_contract_v2.py::test_v2_fixed_index_and_shaping_off; tests/humanlike_v2/test_training_contract_v2.py::test_v2_shaping_is_separate_from_true_score; tests/humanlike_v2/test_training_contract_v2.py::test_illegal_raise_preserves_state_and_terminate_penalizes; tests/humanlike_v2/test_training_contract_v2.py::test_v1_integer_semantics_remain_legal_list_index; tests/test_env.py::test_e01_reset_returns_obs_with_legals; tests/test_env.py::test_e03_illegal_action_raises; tests/test_env.py::test_e04_same_game_id_dealt_hands,docs/status/F0028_6_ACCEPTANCE_2026-07-29.md::自动验收/10950观测（report-only）,PARTIAL,EV3,常见番型和基础结算已实现；并非所有配置组合和番型关系均有代码/夹具证明,无已识别硬阻塞,P1,部分完成,fan/score/config/ledger tests,常见番型和基础结算已实现；并非所有配置组合和番型关系均有代码/夹具证明
AU-062,Replay/Audit,事件、状态/view/config hash、候选、RNG、计分,程序实现规范：第 0—10 章 / 3.8 Replay/Audit,GP-004,engine/physical_tile.py; engine/state.py,engine/physical_tile.py:14::PhysicalTile; engine/physical_tile.py:31::id; engine/state.py:195::GameState; engine/state.py:89::PlayerState; engine/state.py:51::from_dict,engine/blood_battle.py:444::PhysicalTile; engine/physical_tile.py:97::PhysicalTile; engine/deal.py:61::GameState; engine/deal.py:52::PlayerState,tests/humanlike_v2/test_state_v5_migration.py; tests/test_exchange_dingque.py; tests/test_reward.py; tests/test_state_serde.py,tests/humanlike_v2/test_state_v5_migration.py::test_legacy_migration_is_deterministic_and_non_mutating; tests/humanlike_v2/test_state_v5_migration.py::test_bad_legacy_state_fails_instead_of_guessing; tests/test_exchange_dingque.py::test_human_face_exchange_resolves_to_physical_tiles; tests/test_exchange_dingque.py::test_t12_v1_dealt_readable; tests/test_reward.py::test_rw02_rank_bonus; tests/test_state_serde.py::test_t08_dict_roundtrip; tests/test_state_serde.py::test_strict_rejects_bad_hand_sizes; tests/test_state_serde.py::test_unsupported_schema_version,docs/status/F0028_2_ACCEPTANCE_2026-07-28.md::自动验收（report-only）,PARTIAL,EV3,决策审计很强；完整规则事件重演仍依赖 legacy steps，未统一成规范的全事件日志,无已识别硬阻塞,P0,部分完成,Audit v1、legacy steps；篡改/截断/复演测试,决策审计很强；完整规则事件重演仍依赖 legacy steps，未统一成规范的全事件日志
